"82","*ST坊展","600149","4",,"3/12/2019","3/12/2019","0"
"83","太原重工","600169","4","山西","4/9/1998","3/12/2019","0"
"84","全柴动力","600218","4","安徽","3/12/1998","3/12/2019","0"
"85","青海华鼎","600243","4","青海","20/11/2000","3/12/2019","0"
"86","北方股份","600262","4","内蒙","30/6/2000","3/12/2019","0"
"87","振华重工","600320","4","上海","21/12/2000","3/12/2019","0"
"88","恒力股份","600346","4",,"3/12/2019","3/12/2019","0"
"89","龙净环保","600388","4","福建","29/12/2000","3/12/2019","0"
"90","仰帆控股","600421","4",,"3/12/2019","3/12/2019","0"
"91","北方导航","600435","4","北京","4/7/2003","3/12/2019","0"
"92","华光股份","600475","4","江苏","21/7/2003","3/12/2019","0"
"93","科达洁能","600499","4","广东","10/10/2002","3/12/2019","0"
"94","文一科技","600520","4","安徽","8/1/2002","3/12/2019","0"
"95","菲达环保","600526","4",,"3/12/2019","3/12/2019","0"
"96","天华院","600579","4",,"3/12/2019","3/12/2019","0"
"97","天地科技","600582","4","北京","15/5/2002","3/12/2019","0"
"98","龙溪股份","600592","4","福建","5/8/2002","3/12/2019","0"
"99","海立股份","600619","4","上海","16/11/1992","3/12/2019","0"
"100","ST常林","600710","4",,"3/12/2019","3/12/2019","0"
"101","安徽合力","600761","4","安徽","9/10/1996","3/12/2019","0"
"102","中航重机","600765","4","贵州","6/11/1996","3/12/2019","0"
"103","*ST昆机","600806","4",,"3/12/2019","3/12/2019","0"
"104","*ST厦工","600815","4","福建","28/1/1994","3/12/2019","0"
"105","上柴股份","600841","4","上海","11/3/1994","3/12/2019","0"
"106","航天长峰","600855","4","北京","25/4/1994","3/12/2019","0"
"107","*ST京城","600860","4",,"3/12/2019","3/12/2019","0"
"108","建设机械","600984","4","陕西","7/7/2004","3/12/2019","0"
"109","晋亿实业","601002","4","浙江","26/1/2007","3/12/2019","0"
"110","一拖股份","601038","4","河南","8/8/2012","3/12/2019","0"
"111","恒立液压","601100","4","江苏","28/10/2011","3/12/2019","0"
"112","*ST一重","601106","4",,"3/12/2019","3/12/2019","0"
"113","杭齿前进","601177","4","浙江","11/10/2010","3/12/2019","0"
"114","吉鑫科技","601218","4","江苏","6/5/2011","3/12/2019","0"
"115","华电重工","601226","4","北京","11/12/2014","3/12/2019","0"
"116","*ST二重","601268","4",,"2/2/2010","21/5/2015","1"
"117","陕鼓动力","601369","4","陕西","28/4/2010","3/12/2019","0"
"118","中信重工","601608","4","河南","6/7/2012","3/12/2019","0"
"119","郑煤机","601717","4","河南","3/8/2010","3/12/2019","0"
"120","蓝科高新","601798","4",,"3/12/2019","3/12/2019","0"
"121","合锻智能","603011","4","安徽","7/11/2014","3/12/2019","0"
"122","创力集团","603012","4","上海","20/3/2015","3/12/2019","0"
"123","宁波精达","603088","4","浙江","11/11/2014","3/12/2019","0"
"124","兰石重装","603169","4","甘肃","9/10/2014","3/12/2019","0"
"125","应流股份","603308","4","安徽","22/1/2014","3/12/2019","0"
"126","福鞍股份","603315","4","辽宁","24/4/2015","3/12/2019","0"
"127","派思股份","603318","4","辽宁","24/4/2015","3/12/2019","0"
"128","浙江鼎力","603338","4","浙江","25/3/2015","3/12/2019","0"
"129","莱克电气","603355","4","江苏","13/5/2015","3/12/2019","0"
"130","航天工程","603698","4","北京","28/1/2015","3/12/2019","0"
"131","纽威股份","603699","4","江苏","17/1/2014","3/12/2019","0"
"132","星光农机","603789","4","浙江","27/4/2015","3/12/2019","0"
"133","中集集团","000039","4","深圳","8/4/1994","3/12/2019","0"
"134","中联重科","000157","4","湖南","12/10/2000","3/12/2019","0"
"135","华意压缩","000404","4",,"3/12/2019","3/12/2019","0"
"136","*ST沈机","000410","4","辽宁","18/7/1996","3/12/2019","0"
"137","徐工机械","000425","4","江苏","28/8/1996","3/12/2019","0"
"138","中兵红箭","000519","4","湖南","8/10/1993","3/12/2019","0"
"139","柳 工","000528","4","广西","3/12/2019","3/12/2019","0"
"140","大冷股份","000530","4","辽宁","8/12/1993","3/12/2019","0"
"141","创元科技","000551","4","江苏","6/1/1994","3/12/2019","0"
"142","苏常柴Ａ","000570","4","江苏","3/12/2019","3/12/2019","0"
"143","*ST宝实","000595","4",,"3/12/2019","3/12/2019","0"
"144","中油资本","000617","4","新疆","22/10/1996","3/12/2019","0"
"145","襄阳轴承","000678","4","湖北","6/1/1997","3/12/2019","0"
"146","山推股份","000680","4","山东","22/1/1997","3/12/2019","0"
"147","中核科技","000777","4","江苏","10/7/1997","3/12/2019","0"
"148","冰轮环境","000811","4","山东","28/5/1998","3/12/2019","0"
"149","智慧农业","000816","4",,"3/12/2019","3/12/2019","0"
"150","京山轻机","000821","4","湖北","26/6/1998","3/12/2019","0"
"151","秦川机床","000837","4","陕西","28/9/1998","3/12/2019","0"
"152","石化机械","000852","4","湖北","26/11/1998","3/12/2019","0"
"153","冀东装备","000856","4","河北","13/8/1998","3/12/2019","0"
"154","潍柴重机","000880","4","山东","2/4/1998","3/12/2019","0"
"155","云内动力","000903","4","云南","15/4/1999","3/12/2019","0"
"156","河北宣工","000923","4","河北","14/7/1999","3/12/2019","0"
"157","众合科技","000925","4","浙江","11/6/1999","3/12/2019","0"
"158","精功科技","002006","4","浙江","25/6/2004","3/12/2019","0"
"159","天奇股份","002009","4","江苏","29/6/2004","3/12/2019","0"
"160","盾安环境","002011","4","浙江","5/7/2004","3/12/2019","0"
"161","山东威达","002026","4","山东","27/7/2004","3/12/2019","0"
"162","轴研科技","002046","4","河南","26/5/2005","3/12/2019","0"
"163","三花智控","002050","4","浙江","7/6/2005","3/12/2019","0"
"164","山河智能","002097","4","湖南","22/12/2006","3/12/2019","0"
"165","广东鸿图","002101","4","广东","29/12/2006","3/12/2019","0"
"166","天马股份","002122","4",,"3/12/2019","3/12/2019","0"
"167","利欧股份","002131","4","浙江","27/4/2007","3/12/2019","0"
"168","新光圆成","002147","4",,"3/12/2019","3/12/2019","0"
"169","通润装备","002150","4","江苏","10/8/2007","3/12/2019","0"
"170","汉钟精机","002158","4","上海","17/8/2007","3/12/2019","0"
"171","大连重工","002204","4","辽宁","16/1/2008","3/12/2019","0"
"172","达 意 隆","002209","4","广东","3/12/2019","3/12/2019","0"
"173","*ST东数","002248","4",,"3/12/2019","3/12/2019","0"
"174","海陆重工","002255","4","江苏","25/6/2008","3/12/2019","0"
"175","华明装备","002270","4","山东","5/9/2008","3/12/2019","0"
"176","川润股份","002272","4","四川","19/9/2008","3/12/2019","0"
"177","神开股份","002278","4","上海","11/8/2009","3/12/2019","0"
"178","博深工具","002282","4",,"3/12/2019","3/12/2019","0"
"179","新朋股份","002328","4","上海","30/12/2009","3/12/2019","0"
"180","赛象科技","002337","4","天津","15/1/2010","3/12/2019","0"
"181","巨力索具","002342","4","河北","26/1/2010","3/12/2019","0"
"182","泰尔股份","002347","4","安徽","28/1/2010","3/12/2019","0"
"183","杰瑞股份","002353","4","山东","5/2/2010","3/12/2019","0"
"184","台海核电","002366","4","四川","12/3/2010","3/12/2019","0"
"185","雷科防务","002413","4","江苏","28/5/2010","3/12/2019","0"
"186","康盛股份","002418","4","浙江","1/6/2010","3/12/2019","0"
"187","杭氧股份","002430","4","浙江","10/6/2010","3/12/2019","0"
"188","长江润发","002435","4",,"3/12/2019","3/12/2019","0"
"189","江苏神通","002438","4","江苏","23/6/2010","3/12/2019","0"
"190","巨星科技","002444","4","浙江","13/7/2010","3/12/2019","0"
"191","中南文化","002445","4",,"3/12/2019","3/12/2019","0"
"192","天业通联","002459","4","河北","10/8/2010","3/12/2019","0"
"193","双环传动","002472","4","浙江","10/9/2010","3/12/2019","0"
"194","新筑股份","002480","4","四川","21/9/2010","3/12/2019","0"
"195","润邦股份","002483","4","江苏","29/9/2010","3/12/2019","0"
"196","*ST墨龙","002490","4",,"3/12/2019","3/12/2019","0"
"197","科林环保","002499","4",,"3/12/2019","3/12/2019","0"
"198","天广中茂","002509","4","福建","23/11/2010","3/12/2019","0"
"199","宝馨科技","002514","4","江苏","3/12/2010","3/12/2019","0"
"200","日发精机","002520","4","浙江","10/12/2010","3/12/2019","0"
"201","天桥起重","002523","4","湖南","10/12/2010","3/12/2019","0"
"202","山东矿机","002526","4","山东","17/12/2010","3/12/2019","0"
"203","海源机械","002529","4",,"3/12/2019","3/12/2019","0"
"204","金财互联","002530","4","江苏","31/12/2010","3/12/2019","0"
"205","新界泵业","002532","4","浙江","31/12/2010","3/12/2019","0"
"206","杭锅股份","002534","4","浙江","10/1/2011","3/12/2019","0"
"207","林州重机","002535","4","河南","11/1/2011","3/12/2019","0"
"208","海联金汇","002537","4","山东","10/1/2011","3/12/2019","0"
"209","宝鼎科技","002552","4","浙江","25/2/2011","3/12/2019","0"
"210","南方轴承","002553","4","江苏","25/2/2011","3/12/2019","0"
"211","亚威股份","002559","4","江苏","3/3/2011","3/12/2019","0"
"212","天沃科技","002564","4","江苏","10/3/2011","3/12/2019","0"
"213","恒大高新","002591","4","江西","21/6/2011","3/12/2019","0"
"214","豪迈科技","002595","4","山东","28/6/2011","3/12/2019","0"
"215","山东章鼓","002598","4","山东","7/7/2011","3/12/2019","0"
"216","东方精工","002611","4","广东","30/8/2011","3/12/2019","0"
"217","北玻股份","002613","4","河南","30/8/2011","3/12/2019","0"
"218","三垒股份","002621","4",,"3/12/2019","3/12/2019","0"
"219","华西能源","002630","4","四川","11/11/2011","3/12/2019","0"
"220","申科股份","002633","4","浙江","22/11/2011","3/12/2019","0"
"221","雪人股份","002639","4","福建","5/12/2011","3/12/2019","0"
"222","华宏科技","002645","4","江苏","20/12/2011","3/12/2019","0"
